ts,yaw,pitch,roll
0,-7.1781206,17.373987,2.2408173
16,-7.1503463,16.379892,2.0112703
32,-7.5208473,16.202555,1.9054523
64,-7.2401094,16.30791,1.9816929
81,-7.525337,15.941043,1.9298489
97,-7.508145,16.155869,1.9141625
113,-7.444559,15.926272,1.8827151
129,-7.393693,16.055758,1.799299
145,-7.1703444,16.251122,1.918493
160,-7.510266,16.029083,2.0918722
176,-7.3258495,16.095264,2.0331109
192,-7.287027,15.934754,2.0403454
208,-6.9683704,16.518187,2.093734
224,-7.234945,16.13323,2.0341687
240,-7.495592,16.2009,2.185642
256,-7.5415206,16.193888,2.259242
272,-7.54737,16.21861,2.108486
288,-7.5346556,16.156467,2.2122953
320,-7.6712227,16.075184,2.1980612
336,-7.67839,16.101929,2.2431514
352,-7.6660514,16.18899,2.210448
368,-7.594536,15.878236,2.1217744
400,-7.5928326,15.8489,2.17033
416,-7.646125,15.844691,2.0579276
433,-7.451398,15.820505,1.9370869
449,-7.383769,15.715042,1.8735169
481,-7.3126173,15.682747,1.9127779
497,-7.4503684,15.717991,1.8934294
513,-7.4146466,15.622542,1.9045794
528,-7.519318,15.944282,1.8958454
560,-7.409074,15.85932,1.882996
576,-7.3641653,16.023645,1.813323
592,-7.3497033,15.942475,1.9258593
608,-7.5028934,15.895383,1.8650141
640,-7.4141383,15.904533,1.9926901
656,-7.477918,15.820905,1.9861238
672,-7.636468,15.897616,2.0117784
688,-7.542487,15.691907,2.0323339
720,-7.618643,15.790097,2.0288987
736,-7.5826597,15.6634865,2.0130322
752,-7.610172,15.885894,2.0335407
768,-7.6050296,15.884753,2.0896711
800,-7.451101,15.985195,2.0760279
817,-7.481839,15.981322,2.0062602
833,-7.300752,16.159042,2.0567188
849,-7.556197,15.919682,2.003556
881,-7.2550435,16.258429,2.0383537
897,-7.325397,16.129559,1.9842439
912,-7.3879423,15.913953,2.0352368
928,-7.2028065,16.075974,1.9570968
960,-7.344734,15.877389,2.001875
976,-7.3604355,15.889315,2.0078163
992,-7.372932,15.871617,1.9161114
1008,-7.342266,15.872959,1.7664764
1040,-7.392144,15.850895,1.6562898
1056,-7.5889664,15.700788,1.5743272
1072,-7.449902,15.682554,1.5921541
1088,-7.634825,15.6880865,1.5740899
1120,-7.548501,15.633247,1.56611
1136,-7.5305905,15.78533,1.7123935
1152,-7.455977,15.729592,1.7082773
1168,-7.3796415,15.672666,1.6649005
1200,-7.4671655,15.769388,1.691907
1217,-7.296366,15.727119,1.6585108
1233,-7.364085,15.660607,1.5958445
1249,-7.415637,15.486277,1.6184096
1280,-7.242186,15.658564,1.5264382
1296,-7.409753,15.853822,1.5724467
1312,-7.3230214,15.691304,1.5469402
1328,-7.319072,15.813713,1.5845299
1360,-7.228922,15.824592,1.5281034
1376,-7.3762803,15.733133,1.6449543
1392,-7.4677453,15.547924,1.5691111
1408,-7.337871,15.62116,1.5337473
1440,-7.364377,15.502567,1.5225995
1456,-7.349117,15.543979,1.5093657
1472,-7.418619,15.752326,1.5571066
1488,-7.3667183,15.802839,1.4780662
1520,-7.4297457,15.586915,1.3756773
1536,-7.6014786,15.655292,1.3728191
1552,-7.3264585,15.742228,1.3679731
1569,-7.5965157,15.6449795,1.3954327
1601,-7.4715853,15.586324,1.4442114
1617,-7.5615726,15.596118,1.4535781
1633,-7.586371,15.531481,1.4589247
1649,-7.686562,15.599362,1.4808551
1680,-7.735281,15.629902,1.5142807
1696,-7.6385407,15.51482,1.5924567
1712,-7.563144,15.518298,1.5806392
1728,-7.3480964,15.762346,1.5791899
1760,-7.381334,15.585014,1.5395322
1776,-7.4525414,15.61779,1.5813448
1792,-7.4180427,15.733371,1.5593545
1808,-7.3991375,15.697767,1.5372145
1840,-7.2858343,15.834734,1.5153985
1856,-7.3445015,15.763344,1.44694
1872,-6.9028835,15.788678,1.2433041
1888,-6.546823,15.847727,1.0547018
1920,-6.050561,16.246353,0.9689892
1937,-4.9843698,16.057629,0.798844
1953,-3.9938073,15.7706175,0.5949326
1969,-2.3522854,15.833503,0.5452522
2001,-0.7932037,15.60592,0.47507995
